UP 192.168.0.1 Ping Successful
Down 192.168.0.2 Ping Unsuccessful
Down 192.168.0.3 Ping Unsuccessful
Down 192.168.0.4 Ping Unsuccessful
Down 192.168.0.5 Ping Unsuccessful
Down 192.168.0.6 Ping Unsuccessful
Down 192.168.0.7 Ping Unsuccessful
Down 192.168.0.8 Ping Unsuccessful
Down 192.168.0.9 Ping Unsuccessful
Down 192.168.0.10 Ping Unsuccessful
Down 192.168.0.11 Ping Unsuccessful
Down 192.168.0.12 Ping Unsuccessful
Down 192.168.0.13 Ping Unsuccessful
Down 192.168.0.14 Ping Unsuccessful
Down 192.168.0.15 Ping Unsuccessful
Down 192.168.0.16 Ping Unsuccessful
Down 192.168.0.17 Ping Unsuccessful
